date,time,temperature,relative_humidity,pressure_mb,wind_speed_km/h,precipitation_mm,precipitation_type,location_id,location_town_id,location_town_district_id,location_town_district_region_id ,location_user_id 
2022-03-09,18:54:17,-2,61.262226,1114,15,392,rain,15,554782,CZ0100,CZ010,510
2022-01-24,22:09:50,36,79.44075,881,30,375,rain,15,554782,CZ0100,CZ010,511
2023-01-23,04:52:45,7,89.5981,1006,37,null,null,15,554782,CZ0100,CZ010,512
2021-04-15,19:18:03,22,21.015131,866,74,null,null,15,554782,CZ0100,CZ010,513
2022-04-02,17:29:20,13,20.270855,1090,60,302,rain,15,554782,CZ0100,CZ010,514
2021-02-24,13:21:22,30,27.439886,1145,64,178,rain,15,554782,CZ0100,CZ010,515
2022-11-25,21:39:53,27,37.88213,950,73,126,rain,15,554782,CZ0100,CZ010,516
2021-02-24,13:27:24,34,22.709011,1080,28,456,rain,15,554782,CZ0100,CZ010,517
2021-09-16,19:15:27,19,97.241486,1046,119,175,rain,15,554782,CZ0100,CZ010,518
2021-10-11,16:55:55,7,56.387363,912,104,49,rain,15,554782,CZ0100,CZ010,519
2021-10-07,11:38:41,15,10.120344,955,12,36,rain,15,554782,CZ0100,CZ010,520
2022-10-01,04:14:44,21,16.576368,834,51,374,rain,15,554782,CZ0100,CZ010,521
2022-12-15,11:47:28,28,75.71358,834,62,471,rain,15,554782,CZ0100,CZ010,522
2021-01-13,20:46:54,0,70.38219,1153,28,450,rain,15,554782,CZ0100,CZ010,523
2022-04-16,13:44:59,17,11.645484,1186,102,160,rain,15,554782,CZ0100,CZ010,524
2021-01-26,22:42:06,26,90.368484,981,104,259,rain,15,554782,CZ0100,CZ010,525
2022-05-02,08:21:24,23,80.76002,1026,77,489,rain,15,554782,CZ0100,CZ010,526
2021-01-30,23:46:11,35,24.201859,809,74,180,rain,15,554782,CZ0100,CZ010,527
2022-09-07,10:13:35,-3,55.015095,937,74,272,rain,15,554782,CZ0100,CZ010,528
2022-03-26,08:04:25,13,27.575039,1081,48,21,rain,15,554782,CZ0100,CZ010,529
2022-07-03,19:31:35,-5,66.925224,810,30,494,rain,15,554782,CZ0100,CZ010,530
2021-05-28,15:06:12,-5,27.235931,1008,82,178,rain,15,554782,CZ0100,CZ010,531
2021-06-29,17:41:17,24,47.140537,1094,34,398,rain,15,554782,CZ0100,CZ010,532
2021-09-08,15:35:08,38,25.565422,948,48,128,rain,15,554782,CZ0100,CZ010,533
2021-12-30,02:12:55,0,49.315758,1089,40,79,rain,15,554782,CZ0100,CZ010,534
2022-05-09,12:01:52,15,57.527107,1131,97,25,rain,15,554782,CZ0100,CZ010,535
2021-10-26,03:06:20,33,39.24515,1131,58,301,rain,15,554782,CZ0100,CZ010,536
2021-02-01,07:39:39,-6,68.44931,941,30,455,rain,15,554782,CZ0100,CZ010,537
2021-02-27,01:12:26,38,23.31741,1170,5,425,rain,15,554782,CZ0100,CZ010,538
2021-09-05,03:06:12,26,78.198006,847,45,20,rain,15,554782,CZ0100,CZ010,539
2022-09-29,06:44:47,34,88.53306,800,58,166,rain,15,554782,CZ0100,CZ010,540
2022-09-30,03:08:56,37,51.665573,883,91,268,rain,15,554782,CZ0100,CZ010,541
2022-11-14,14:50:21,37,19.79732,819,53,389,rain,15,554782,CZ0100,CZ010,542
2022-01-03,22:22:22,-1,1.7371655,867,65,269,rain,15,554782,CZ0100,CZ010,543
2021-04-28,01:05:05,23,19.130056,1049,51,457,rain,15,554782,CZ0100,CZ010,544
2022-02-17,19:48:17,29,33.531796,1083,101,170,rain,15,554782,CZ0100,CZ010,545
2023-01-26,10:20:38,-4,58.00473,1069,46,null,null,15,554782,CZ0100,CZ010,546
2021-05-14,01:27:07,33,53.04128,832,61,null,null,15,554782,CZ0100,CZ010,547
2022-08-30,10:53:54,22,94.43279,819,93,228,rain,15,554782,CZ0100,CZ010,548
2021-02-15,23:25:35,22,6.791067,1169,69,28,rain,15,554782,CZ0100,CZ010,549
2022-03-08,06:40:19,27,88.19874,889,66,65,rain,15,554782,CZ0100,CZ010,550
2021-06-20,04:47:08,37,69.54682,1070,35,492,rain,15,554782,CZ0100,CZ010,551
2021-12-23,10:39:48,8,40.366108,1081,28,233,rain,15,554782,CZ0100,CZ010,552
2022-08-16,21:08:38,25,71.14452,867,32,77,rain,15,554782,CZ0100,CZ010,553
2022-04-24,13:59:05,36,24.855768,988,118,9,rain,15,554782,CZ0100,CZ010,554
2021-11-18,19:13:52,16,83.83128,914,103,475,rain,15,554782,CZ0100,CZ010,555
2021-05-22,20:25:00,37,82.65911,849,50,156,rain,15,554782,CZ0100,CZ010,556
2022-01-11,13:32:36,12,46.737038,811,42,169,rain,15,554782,CZ0100,CZ010,557
2022-11-16,18:04:45,22,12.757468,1136,90,259,rain,15,554782,CZ0100,CZ010,558
2022-03-09,04:54:20,-1,31.131792,1165,64,489,rain,15,554782,CZ0100,CZ010,559
2022-10-10,14:53:23,25,76.12639,855,32,145,rain,15,554782,CZ0100,CZ010,560
2022-10-09,12:30:32,-5,94.75996,1144,88,234,rain,15,554782,CZ0100,CZ010,561
2022-07-13,02:00:14,26,10.006481,989,37,85,rain,15,554782,CZ0100,CZ010,562
2021-04-14,09:28:13,7,39.539867,1015,17,267,rain,15,554782,CZ0100,CZ010,563
2023-01-21,05:18:49,-6,31.665146,1003,88,63,rain,15,554782,CZ0100,CZ010,564
2021-09-12,07:23:57,36,21.253359,815,96,182,rain,15,554782,CZ0100,CZ010,565
2022-04-23,05:00:49,32,20.801973,949,101,215,rain,15,554782,CZ0100,CZ010,566
2021-09-17,17:33:48,27,5.220902,934,38,162,rain,15,554782,CZ0100,CZ010,567
2022-08-08,13:58:05,19,60.395164,1027,8,252,rain,15,554782,CZ0100,CZ010,568
2021-01-10,18:22:54,-9,95.64749,1074,3,427,rain,15,554782,CZ0100,CZ010,569
2022-02-26,23:37:15,-7,37.428974,907,81,178,rain,15,554782,CZ0100,CZ010,570
2022-01-19,07:27:59,22,47.72252,1099,78,245,rain,15,554782,CZ0100,CZ010,571
2022-10-29,21:51:16,23,3.7849307,982,104,57,rain,15,554782,CZ0100,CZ010,572
2021-06-01,10:32:27,7,48.70673,906,3,113,rain,15,554782,CZ0100,CZ010,573
2022-03-12,21:10:48,3,15.239692,1106,108,369,rain,15,554782,CZ0100,CZ010,574
2022-07-14,08:06:52,24,32.93835,952,7,440,rain,15,554782,CZ0100,CZ010,575
2022-01-06,09:36:00,38,54.99185,1024,81,266,rain,15,554782,CZ0100,CZ010,576
2022-07-19,23:46:54,23,52.77276,1017,88,352,rain,15,554782,CZ0100,CZ010,577
2021-02-06,04:18:37,5,80.35556,835,47,93,rain,15,554782,CZ0100,CZ010,578
2021-11-12,06:41:28,-9,53.05501,1108,27,210,rain,15,554782,CZ0100,CZ010,579
2023-01-26,10:22:05,0,77.83068,995,76,30,rain,15,554782,CZ0100,CZ010,580
2023-01-02,00:57:53,9,78.29858,1060,8,449,rain,15,554782,CZ0100,CZ010,581
2021-01-15,22:45:07,3,70.38572,1178,98,152,rain,15,554782,CZ0100,CZ010,582
2021-01-13,09:11:14,-2,56.11537,1118,63,340,rain,15,554782,CZ0100,CZ010,583
2021-07-28,08:58:34,5,25.165642,974,53,177,rain,15,554782,CZ0100,CZ010,584
2021-05-14,10:05:23,7,57.689484,921,15,20,rain,15,554782,CZ0100,CZ010,585
2021-08-31,09:05:28,27,10.69001,811,28,12,rain,15,554782,CZ0100,CZ010,586
2022-05-27,20:50:21,26,22.778643,1174,33,243,rain,15,554782,CZ0100,CZ010,587
2022-04-04,03:25:38,-2,54.05623,993,6,186,rain,15,554782,CZ0100,CZ010,588
2021-10-15,21:02:44,12,33.79931,812,104,400,rain,15,554782,CZ0100,CZ010,589
2021-10-06,11:36:58,24,98.726974,902,29,364,rain,15,554782,CZ0100,CZ010,590
2022-10-21,12:33:33,34,27.357023,1101,4,313,rain,15,554782,CZ0100,CZ010,591
2021-08-22,05:10:19,33,38.192356,1075,100,79,rain,15,554782,CZ0100,CZ010,592
2022-07-28,10:33:36,-8,84.761536,930,110,425,rain,15,554782,CZ0100,CZ010,593
2022-01-23,00:49:06,6,86.99508,1117,3,104,rain,15,554782,CZ0100,CZ010,594
2021-01-11,04:46:25,-4,84.9825,1018,113,182,rain,15,554782,CZ0100,CZ010,595
2022-07-04,20:43:52,20,23.115517,1013,25,141,rain,15,554782,CZ0100,CZ010,596
2022-02-27,19:08:41,0,78.16967,894,102,58,rain,15,554782,CZ0100,CZ010,597
2022-07-29,23:46:28,38,40.236313,1036,60,340,rain,15,554782,CZ0100,CZ010,598
2022-03-17,11:34:22,11,50.341354,982,42,448,rain,15,554782,CZ0100,CZ010,599
2022-11-18,17:05:34,20,42.08127,864,14,23,rain,15,554782,CZ0100,CZ010,600
2022-10-03,20:36:06,11,40.275295,933,74,427,rain,15,554782,CZ0100,CZ010,601
2021-04-21,07:14:36,27,78.22722,833,101,325,rain,15,554782,CZ0100,CZ010,602
2021-06-04,17:37:58,18,77.15497,1152,116,58,rain,15,554782,CZ0100,CZ010,603
2021-09-01,13:18:29,31,72.38341,914,114,362,rain,15,554782,CZ0100,CZ010,604
2021-02-25,12:18:43,25,24.475044,1083,30,240,rain,15,554782,CZ0100,CZ010,605
2022-10-04,02:34:13,13,73.995445,824,3,205,rain,15,554782,CZ0100,CZ010,606
2022-07-06,02:30:55,1,85.64445,1039,105,435,rain,15,554782,CZ0100,CZ010,607
2021-12-06,22:10:08,24,27.300102,1038,70,177,rain,15,554782,CZ0100,CZ010,608
2022-11-18,20:20:24,16,17.85016,911,76,232,rain,15,554782,CZ0100,CZ010,609
2021-10-03,16:06:58,0,45.096653,942,114,457,rain,15,554782,CZ0100,CZ010,610
2021-09-04,17:35:31,16,89.56572,975,84,232,rain,15,554782,CZ0100,CZ010,611
2021-05-15,05:15:22,5,37.86959,1137,65,305,rain,15,554782,CZ0100,CZ010,612
2021-11-23,09:09:30,2,45.1588,1145,78,467,rain,15,554782,CZ0100,CZ010,613
2021-09-19,07:52:45,38,78.15519,819,117,288,rain,15,554782,CZ0100,CZ010,614
2021-09-07,16:01:03,11,59.826374,853,89,384,rain,15,554782,CZ0100,CZ010,615
2021-04-15,03:30:40,9,23.352337,1186,52,333,rain,15,554782,CZ0100,CZ010,616
2021-06-11,08:39:16,-2,72.02772,936,104,288,rain,15,554782,CZ0100,CZ010,617
2022-07-18,16:55:03,21,53.76273,1045,57,280,rain,15,554782,CZ0100,CZ010,618
2022-01-16,10:20:47,23,10.793077,1017,50,24,rain,15,554782,CZ0100,CZ010,619
2022-11-11,16:35:54,-9,97.94419,1132,77,209,rain,15,554782,CZ0100,CZ010,620
2021-07-18,20:40:34,25,99.025795,911,67,429,rain,15,554782,CZ0100,CZ010,621
2021-03-10,18:42:46,-2,68.65584,1167,101,253,rain,15,554782,CZ0100,CZ010,622
2021-05-23,09:33:59,9,83.57945,1014,43,204,rain,15,554782,CZ0100,CZ010,623
2022-01-27,14:27:01,6,34.091724,893,22,430,rain,15,554782,CZ0100,CZ010,624
2022-09-02,14:15:22,22,97.017746,1058,84,412,rain,15,554782,CZ0100,CZ010,625
2023-01-04,20:07:26,6,77.53185,1110,40,5,rain,15,554782,CZ0100,CZ010,626
2021-05-17,22:35:54,-8,21.090961,1087,48,430,rain,15,554782,CZ0100,CZ010,627
2021-12-22,21:41:20,24,46.207493,978,59,226,rain,15,554782,CZ0100,CZ010,628
2022-07-15,19:32:36,37,3.197527,1157,51,413,rain,15,554782,CZ0100,CZ010,629
2022-08-17,21:11:48,20,29.650408,802,109,166,rain,15,554782,CZ0100,CZ010,630
2021-09-26,19:55:21,11,18.431562,800,5,239,rain,15,554782,CZ0100,CZ010,631
2021-05-07,23:21:33,-1,70.83467,1144,28,169,rain,15,554782,CZ0100,CZ010,632
2021-11-15,05:01:49,12,63.301754,931,118,394,rain,15,554782,CZ0100,CZ010,633
2022-01-22,15:53:08,16,51.307034,969,2,348,rain,15,554782,CZ0100,CZ010,634
2021-01-17,02:26:01,-8,33.293026,1031,6,327,rain,15,554782,CZ0100,CZ010,635
2022-09-12,15:26:38,11,75.0741,1044,72,342,rain,15,554782,CZ0100,CZ010,636
2021-06-25,00:09:13,16,25.835258,1144,23,142,rain,15,554782,CZ0100,CZ010,637
2021-08-24,01:39:48,31,9.217602,851,81,106,rain,15,554782,CZ0100,CZ010,638
2021-06-13,14:06:00,-5,30.813807,1077,97,232,rain,15,554782,CZ0100,CZ010,639
2022-03-13,13:37:55,-7,0.6319761,952,65,83,rain,15,554782,CZ0100,CZ010,640
2021-06-16,22:34:19,21,21.14268,1041,111,370,rain,15,554782,CZ0100,CZ010,641
2023-01-17,00:28:31,-8,80.74522,1161,35,269,rain,15,554782,CZ0100,CZ010,642
2021-03-30,17:17:57,17,50.58102,993,37,122,rain,15,554782,CZ0100,CZ010,643
2021-01-30,20:29:37,38,49.005104,967,71,428,rain,15,554782,CZ0100,CZ010,644
2021-12-21,00:12:58,30,64.587944,915,39,130,rain,15,554782,CZ0100,CZ010,645
2021-05-01,16:28:34,28,92.72111,1072,70,38,rain,15,554782,CZ0100,CZ010,646
2022-03-25,10:31:52,32,37.243004,1010,58,474,rain,15,554782,CZ0100,CZ010,647
2022-06-23,12:31:49,6,88.48702,1147,107,4,rain,15,554782,CZ0100,CZ010,648
2021-11-13,22:31:09,39,27.021711,831,18,222,rain,15,554782,CZ0100,CZ010,649
2022-09-11,07:20:47,0,73.41065,968,20,43,rain,15,554782,CZ0100,CZ010,650
2021-11-04,00:23:20,26,95.697876,986,14,443,rain,15,554782,CZ0100,CZ010,651
2022-02-09,21:16:51,8,46.810616,846,85,175,rain,15,554782,CZ0100,CZ010,652
2021-08-14,19:53:20,9,5.506688,868,40,113,rain,15,554782,CZ0100,CZ010,653
2022-09-08,13:22:39,14,83.06642,878,66,410,rain,15,554782,CZ0100,CZ010,654
2022-10-20,10:45:42,1,74.93615,1088,52,132,rain,15,554782,CZ0100,CZ010,655
2021-01-19,21:04:28,9,76.85868,1181,103,285,rain,15,554782,CZ0100,CZ010,656
2022-08-23,14:15:04,37,86.6211,848,68,320,rain,15,554782,CZ0100,CZ010,657
2022-02-06,23:18:58,17,52.66956,847,98,403,rain,15,554782,CZ0100,CZ010,658
2022-07-14,17:27:36,20,67.06519,1032,109,263,rain,15,554782,CZ0100,CZ010,659
2022-11-10,10:40:05,-3,6.057543,1126,64,211,rain,15,554782,CZ0100,CZ010,660
2021-07-11,09:16:51,32,27.57774,1182,3,363,rain,15,554782,CZ0100,CZ010,661
2021-11-25,11:33:56,12,12.125647,960,16,475,rain,15,554782,CZ0100,CZ010,662
2021-02-18,05:56:07,-9,28.365213,1106,33,337,rain,15,554782,CZ0100,CZ010,663
2022-03-11,02:46:36,16,13.462437,912,104,385,rain,15,554782,CZ0100,CZ010,664
2022-02-12,01:36:03,11,36.194366,932,42,445,rain,15,554782,CZ0100,CZ010,665
2022-05-29,00:09:39,17,36.653244,867,84,21,rain,15,554782,CZ0100,CZ010,666
2022-09-20,07:56:21,33,93.768684,863,108,293,rain,15,554782,CZ0100,CZ010,667
2022-11-10,16:58:39,14,9.356451,1176,78,276,rain,15,554782,CZ0100,CZ010,668
2022-06-21,20:56:41,-4,29.061157,1137,103,151,rain,15,554782,CZ0100,CZ010,669
2023-01-24,16:07:06,19,80.745636,1194,48,3,rain,15,554782,CZ0100,CZ010,670
2022-11-22,09:42:29,21,4.077089,909,84,24,rain,15,554782,CZ0100,CZ010,671
2022-02-21,21:50:07,29,9.184522,828,100,5,rain,15,554782,CZ0100,CZ010,672
2022-12-27,23:32:30,-2,3.012967,865,33,296,rain,15,554782,CZ0100,CZ010,673
2021-07-15,23:44:18,25,14.324141,1051,43,96,rain,15,554782,CZ0100,CZ010,674
2022-02-15,10:24:14,15,93.50383,831,35,42,rain,15,554782,CZ0100,CZ010,675
2022-04-26,04:29:17,-6,12.164223,880,101,28,rain,15,554782,CZ0100,CZ010,676
2022-12-16,13:01:21,7,3.4824312,1039,68,391,rain,15,554782,CZ0100,CZ010,677
2021-04-22,05:01:06,1,76.023994,1089,7,469,rain,15,554782,CZ0100,CZ010,678
2023-01-20,00:09:22,28,73.54498,1051,53,376,rain,15,554782,CZ0100,CZ010,679
2021-03-18,15:10:05,8,81.84933,960,86,357,rain,15,554782,CZ0100,CZ010,680
2021-06-01,03:49:06,25,95.05124,1066,33,56,rain,15,554782,CZ0100,CZ010,681
2022-09-29,12:37:26,12,28.510921,829,2,228,rain,15,554782,CZ0100,CZ010,682
2021-12-04,09:34:34,0,85.32818,1062,2,173,rain,15,554782,CZ0100,CZ010,683
2022-12-06,08:56:33,10,24.727654,1007,2,283,rain,15,554782,CZ0100,CZ010,684
2022-07-03,14:15:48,-9,85.40951,1126,63,22,rain,15,554782,CZ0100,CZ010,685
2022-03-07,03:55:00,-2,43.932266,814,65,372,rain,15,554782,CZ0100,CZ010,686
2022-05-06,21:41:37,30,96.88379,906,25,433,rain,15,554782,CZ0100,CZ010,687
2021-06-09,15:27:22,26,18.631256,965,119,376,rain,15,554782,CZ0100,CZ010,688
2022-09-17,23:05:51,-5,70.16888,1113,67,81,rain,15,554782,CZ0100,CZ010,689
2021-12-16,17:33:39,35,81.73625,826,68,175,rain,15,554782,CZ0100,CZ010,690
2022-02-24,11:11:20,17,72.44553,942,111,145,rain,15,554782,CZ0100,CZ010,691
2022-11-24,10:16:36,35,26.906437,1164,55,354,rain,15,554782,CZ0100,CZ010,692
2021-08-23,01:41:48,6,19.057804,1189,66,441,rain,15,554782,CZ0100,CZ010,693
2022-08-19,13:04:57,12,2.8850377,1176,38,203,rain,15,554782,CZ0100,CZ010,694
2021-12-08,19:55:38,33,98.95364,1178,93,52,rain,15,554782,CZ0100,CZ010,695
2022-12-22,09:05:11,39,70.07786,995,69,272,rain,15,554782,CZ0100,CZ010,696
2021-07-11,11:23:25,32,25.773186,883,70,375,rain,15,554782,CZ0100,CZ010,697
2021-07-02,16:46:42,19,14.742356,861,115,422,rain,15,554782,CZ0100,CZ010,698
2021-12-04,12:36:26,11,89.25104,868,52,98,rain,15,554782,CZ0100,CZ010,699
2022-11-22,14:08:10,31,13.852143,1112,42,31,rain,15,554782,CZ0100,CZ010,700
2021-04-24,06:13:58,-5,76.301056,872,37,387,rain,15,554782,CZ0100,CZ010,701
2021-06-26,20:17:48,21,69.49823,1196,0,15,rain,15,554782,CZ0100,CZ010,702
2021-02-21,21:39:45,-5,93.69197,912,46,404,rain,15,554782,CZ0100,CZ010,703
2022-11-06,20:31:12,20,72.01209,1092,80,152,rain,15,554782,CZ0100,CZ010,704
2021-04-13,16:19:03,7,31.290657,1114,100,142,rain,15,554782,CZ0100,CZ010,705
2022-01-24,10:00:55,8,69.82701,960,99,285,rain,15,554782,CZ0100,CZ010,706
2021-09-26,23:33:04,16,1.4952242,832,104,131,rain,15,554782,CZ0100,CZ010,707
2022-06-27,05:39:33,13,42.88324,989,24,268,rain,15,554782,CZ0100,CZ010,708
2021-06-16,08:54:32,-4,64.82574,1018,7,465,rain,15,554782,CZ0100,CZ010,709
2022-12-27,20:25:44,-9,31.549381,1193,58,327,rain,15,554782,CZ0100,CZ010,710
2022-03-09,09:38:53,5,42.45594,977,62,93,rain,15,554782,CZ0100,CZ010,711
2021-10-12,07:29:43,36,78.00711,1138,51,227,rain,15,554782,CZ0100,CZ010,712
2022-01-19,07:47:51,17,97.750336,1015,78,334,rain,15,554782,CZ0100,CZ010,713
2021-01-17,01:51:45,-2,41.434322,963,42,27,rain,15,554782,CZ0100,CZ010,714
2022-09-28,17:47:37,27,58.679123,1119,83,351,rain,15,554782,CZ0100,CZ010,715
2022-03-10,00:59:02,21,77.38433,890,108,175,rain,15,554782,CZ0100,CZ010,716
2022-04-20,18:55:00,10,21.952343,899,53,78,rain,15,554782,CZ0100,CZ010,717
2022-06-06,00:40:45,14,45.04738,917,59,456,rain,15,554782,CZ0100,CZ010,718
2021-12-22,18:18:09,36,87.72363,1171,112,276,rain,15,554782,CZ0100,CZ010,719
